                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9325,                 1.4691,                0.91205,                 0.9621,                0.93282,                0.97719,                0.77519,                0.84252,                0.98262,                0.88523,             0.00055158,             0.00055158,             0.00055158
                      2,                0.80163,                  0.692,                0.88095,                0.97001,                0.97169,                0.98781,                0.81123,                0.77523,                0.60712,                0.87465,              0.0010963,              0.0010963,              0.0010963
                      3,                0.77216,                0.57471,                0.87343,                0.96794,                0.98365,                0.98723,                0.80552,                0.76218,                0.48521,                0.87834,                0.00163,                0.00163,                0.00163
                      4,                0.77163,                0.51325,                0.87429,                0.97287,                0.97371,                0.98562,                0.82054,                0.73993,                0.49133,                0.87884,              0.0016175,              0.0016175,              0.0016175
                      5,                0.75162,                0.48294,                0.87329,                0.98274,                0.98543,                0.98779,                0.83655,                0.73026,                0.44176,                 0.8732,               0.001601,               0.001601,               0.001601
                      6,                0.72398,                0.44496,                0.86615,                0.98774,                0.98076,                0.98748,                0.83352,                0.71732,                0.42133,                0.88089,              0.0015845,              0.0015845,              0.0015845
                      7,                0.72471,                0.43009,                0.86431,                0.98573,                0.99025,                0.98778,                0.84224,                0.70927,                0.38955,                0.86834,               0.001568,               0.001568,               0.001568
                      8,                0.71238,                0.40999,                0.86585,                0.97974,                0.99052,                 0.9884,                0.83289,                0.72158,                0.40018,                0.87599,              0.0015515,              0.0015515,              0.0015515
                      9,                0.68397,                0.39186,                0.85745,                0.98114,                0.98654,                0.98812,                0.84753,                0.70543,                0.39464,                0.87739,               0.001535,               0.001535,               0.001535
                     10,                0.68474,                0.38618,                0.86061,                0.98202,                0.99078,                0.98911,                0.85062,                0.68398,                0.37267,                0.87055,              0.0015185,              0.0015185,              0.0015185
                     11,                0.69218,                 0.3831,                0.86174,                0.98776,                0.98861,                 0.9899,                0.84636,                0.71161,                0.37856,                0.87742,               0.001502,               0.001502,               0.001502
                     12,                 0.6596,                0.36955,                0.85547,                0.98308,                0.99028,                0.98866,                0.86368,                0.67051,                0.36339,                0.86929,              0.0014855,              0.0014855,              0.0014855
                     13,                0.66789,                0.36797,                0.85564,                0.98492,                0.99073,                0.98821,                0.86086,                0.67421,                0.35798,                 0.8706,               0.001469,               0.001469,               0.001469
                     14,                0.65442,                 0.3631,                0.85241,                0.99042,                0.98941,                0.98758,                0.86641,                0.65848,                0.34316,                0.86347,              0.0014525,              0.0014525,              0.0014525
                     15,                0.65552,                0.36094,                0.85256,                0.98547,                0.99158,                0.98864,                0.85498,                0.70015,                0.36685,                0.87515,               0.001436,               0.001436,               0.001436
                     16,                0.65724,                0.36595,                0.85336,                0.98792,                0.99056,                0.98803,                0.85376,                 0.6808,                0.35292,                0.86952,              0.0014195,              0.0014195,              0.0014195
                     17,                0.64748,                0.35038,                0.85235,                0.98746,                0.99275,                0.98693,                0.86195,                0.68656,                0.35331,                0.86954,              0.0014029,              0.0014029,              0.0014029
                     18,                0.63339,                0.34603,                0.84941,                0.99156,                0.99073,                0.98847,                0.86659,                0.66554,                0.33335,                0.86883,              0.0013864,              0.0013864,              0.0013864
                     19,                0.63252,                0.34081,                0.84673,                0.98857,                0.99391,                0.98857,                0.86884,                0.65345,                0.32189,                0.86638,              0.0013699,              0.0013699,              0.0013699
                     20,                0.61015,                0.33084,                0.84275,                0.98362,                0.99313,                0.98816,                0.86981,                0.64278,                0.32424,                0.86806,              0.0013534,              0.0013534,              0.0013534
                     21,                0.62233,                0.33427,                0.84995,                0.98816,                0.99336,                0.98843,                0.86804,                0.66297,                0.33436,                0.86779,              0.0013369,              0.0013369,              0.0013369
                     22,                0.62593,                0.33332,                0.84739,                 0.9884,                0.99309,                0.98833,                 0.8736,                0.64732,                0.32358,                0.86592,              0.0013204,              0.0013204,              0.0013204
                     23,                0.60405,                0.32738,                0.84472,                0.98648,                0.99443,                 0.9886,                0.87052,                0.65724,                0.32654,                0.86824,              0.0013039,              0.0013039,              0.0013039
                     24,                0.62498,                0.33255,                 0.8473,                0.98954,                0.99318,                0.98806,                0.87105,                0.64976,                0.31816,                0.86644,              0.0012874,              0.0012874,              0.0012874
                     25,                0.60065,                0.32135,                0.84522,                0.98435,                0.99425,                0.98948,                0.88389,                0.62779,                0.31326,                0.86194,              0.0012709,              0.0012709,              0.0012709
                     26,                0.61458,                0.32535,                0.84575,                0.98762,                0.99515,                0.98903,                0.88021,                0.65265,                0.32732,                0.86786,              0.0012544,              0.0012544,              0.0012544
                     27,                0.59881,                0.31521,                0.84389,                0.98821,                0.99401,                0.98831,                0.88784,                0.61846,                0.30819,                0.86194,              0.0012379,              0.0012379,              0.0012379
                     28,                0.58199,                 0.3109,                0.83874,                 0.9878,                0.99447,                0.98819,                0.88106,                0.64704,                0.32452,                0.86663,              0.0012214,              0.0012214,              0.0012214
                     29,                0.58757,                0.31073,                0.83973,                0.98789,                0.99632,                0.98875,                 0.8858,                0.61454,                0.30156,                0.86181,              0.0012049,              0.0012049,              0.0012049
                     30,                0.58308,                0.30907,                0.84231,                0.98771,                0.99392,                0.98874,                0.87971,                0.63509,                0.31007,                0.86325,              0.0011884,              0.0011884,              0.0011884
                     31,                0.59099,                0.30847,                0.84255,                 0.9885,                 0.9943,                0.98901,                0.88162,                0.62092,                0.30522,                0.86136,              0.0011719,              0.0011719,              0.0011719
                     32,                0.57453,                0.30469,                0.83761,                0.98916,                0.99534,                0.98824,                0.88411,                0.61726,                0.29975,                0.86209,              0.0011554,              0.0011554,              0.0011554
                     33,                  0.582,                0.30661,                0.84046,                0.98839,                0.99452,                0.98836,                0.88704,                0.62144,                0.30041,                0.86469,              0.0011389,              0.0011389,              0.0011389
                     34,                0.56883,                0.29857,                 0.8374,                0.98766,                0.99503,                0.98839,                0.88668,                0.62091,                0.30566,                 0.8658,              0.0011224,              0.0011224,              0.0011224
                     35,                0.57949,                0.30046,                0.84017,                0.98742,                0.99514,                0.98874,                0.88386,                0.63068,                0.30282,                0.86557,              0.0011059,              0.0011059,              0.0011059
                     36,                0.57371,                0.29529,                0.83942,                0.98874,                0.99235,                0.98908,                0.89026,                0.61622,                0.29898,                0.86487,              0.0010894,              0.0010894,              0.0010894
                     37,                0.56665,                0.29981,                0.83887,                0.99055,                0.99541,                 0.9896,                 0.8927,                0.60967,                0.29619,                0.86222,              0.0010729,              0.0010729,              0.0010729
                     38,                0.56003,                0.29429,                0.83817,                0.98822,                0.99591,                0.98773,                0.88565,                0.61809,                0.29282,                0.86617,              0.0010564,              0.0010564,              0.0010564
                     39,                0.56079,                0.29231,                0.83711,                0.98812,                0.99652,                0.98927,                0.88911,                0.60854,                0.29148,                0.86531,              0.0010399,              0.0010399,              0.0010399
                     40,                0.55749,                 0.2923,                0.83671,                0.99069,                0.99389,                0.98832,                0.88495,                0.61186,                0.29343,                0.86373,              0.0010234,              0.0010234,              0.0010234
                     41,                0.56331,                0.29101,                0.83734,                0.98756,                0.99174,                0.98947,                0.89107,                0.60283,                0.29378,                0.86399,              0.0010069,              0.0010069,              0.0010069
                     42,                0.54469,                0.28228,                0.83487,                0.98831,                0.99254,                0.98849,                0.88327,                0.62092,                0.29039,                0.86669,             0.00099036,             0.00099036,             0.00099036
                     43,                0.54312,                0.28273,                 0.8323,                0.98776,                0.99506,                0.98882,                0.89244,                0.60141,                0.28292,                0.86513,             0.00097386,             0.00097386,             0.00097386
                     44,                0.54693,                0.28193,                0.83492,                0.98895,                0.99442,                0.98918,                0.89049,                0.60945,                0.28534,                0.87168,             0.00095736,             0.00095736,             0.00095736
                     45,                0.53771,                0.27886,                  0.829,                0.98937,                0.99402,                0.98908,                0.89451,                0.60239,                0.28277,                0.86033,             0.00094085,             0.00094085,             0.00094085
                     46,                0.53856,                0.28032,                0.83066,                0.98969,                0.99423,                0.98861,                0.89518,                0.59861,                0.28528,                0.86494,             0.00092435,             0.00092435,             0.00092435
                     47,                0.52732,                0.27669,                 0.8301,                0.98981,                0.99695,                0.98873,                0.89065,                0.60762,                0.28396,                0.86347,             0.00090785,             0.00090785,             0.00090785
                     48,                0.52908,                0.27778,                0.82951,                0.98476,                0.99558,                0.98898,                0.89665,                0.60483,                0.28828,                0.86308,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.5402,                0.27927,                0.83321,                0.98799,                 0.9947,                0.98921,                0.88693,                0.60292,                0.28443,                0.86366,             0.00087484,             0.00087484,             0.00087484
                     50,                0.52344,                0.27157,                0.82938,                0.99094,                 0.9943,                0.98907,                 0.8947,                0.60148,                0.27958,                0.86463,             0.00085834,             0.00085834,             0.00085834
                     51,                0.52011,                0.27302,                  0.828,                0.98813,                0.99603,                 0.9884,                0.89378,                0.59652,                0.28127,                 0.8629,             0.00084184,             0.00084184,             0.00084184
                     52,                0.52799,                0.27395,                0.83221,                0.98943,                 0.9939,                0.98897,                0.89455,                0.60285,                0.27573,                0.86505,             0.00082533,             0.00082533,             0.00082533
                     53,                0.52519,                0.27257,                0.83134,                0.99018,                0.99476,                 0.9885,                0.89368,                0.59973,                0.27719,                0.86619,             0.00080883,             0.00080883,             0.00080883
