epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.045,0.62665,0.4914,0.88388,0.9949,0.99187,0.99493,0.87797,0.53564,0.27347,0.89271,0.00333059,0.00333059,0.00333059
2,1182,0.6199,0.34161,0.87076,0.99434,0.99083,0.9941,0.88474,0.52706,0.28055,0.89284,0.00659795,0.00659795,0.00659795
3,1763.47,0.62937,0.34698,0.87581,0.99436,0.99413,0.99314,0.88049,0.53842,0.27262,0.89735,0.00979932,0.00979932,0.00979932
4,2343.17,0.60712,0.33207,0.87263,0.99652,0.99575,0.99358,0.8921,0.50141,0.24077,0.88697,0.009703,0.009703,0.009703
5,2923.14,0.56275,0.30359,0.86038,0.9952,0.99601,0.99364,0.90821,0.47711,0.22688,0.88098,0.009604,0.009604,0.009604
6,3503.06,0.53561,0.28415,0.85414,0.99307,0.99698,0.99484,0.91992,0.46474,0.2207,0.87753,0.009505,0.009505,0.009505
7,4083.03,0.51403,0.27055,0.84937,0.99655,0.99805,0.99494,0.91401,0.46178,0.2107,0.87715,0.009406,0.009406,0.009406
8,4662.7,0.49967,0.26149,0.84427,0.99669,0.99626,0.99497,0.91747,0.45667,0.20231,0.87682,0.009307,0.009307,0.009307
9,5242.21,0.48487,0.25242,0.84113,0.99696,0.99757,0.99455,0.9166,0.44418,0.19683,0.87394,0.009208,0.009208,0.009208
10,5821.95,0.47435,0.24698,0.83848,0.99543,0.99429,0.99277,0.91939,0.44602,0.1985,0.87554,0.009109,0.009109,0.009109
11,6402.04,0.4657,0.24161,0.83638,0.9969,0.99463,0.99371,0.92437,0.44329,0.19665,0.87424,0.00901,0.00901,0.00901
12,6982.58,0.45607,0.23617,0.83411,0.99772,0.99751,0.99445,0.92585,0.42928,0.19169,0.87008,0.008911,0.008911,0.008911
13,7563.06,0.4488,0.23278,0.83131,0.99705,0.99647,0.99328,0.92587,0.42722,0.18858,0.87014,0.008812,0.008812,0.008812
14,8144.57,0.44032,0.22668,0.83075,0.99698,0.99694,0.99337,0.9255,0.43218,0.18595,0.87199,0.008713,0.008713,0.008713
15,8724.63,0.43137,0.2245,0.82778,0.9981,0.99779,0.99437,0.92689,0.4303,0.18929,0.87216,0.008614,0.008614,0.008614
16,9304.67,0.42618,0.22042,0.82666,0.9955,0.99578,0.99331,0.92744,0.42843,0.18453,0.87261,0.008515,0.008515,0.008515
17,9884.93,0.423,0.2179,0.82615,0.99814,0.99732,0.99433,0.92842,0.42319,0.18201,0.86913,0.008416,0.008416,0.008416
18,10465.4,0.41725,0.21451,0.82465,0.99859,0.99808,0.99422,0.92644,0.42091,0.17522,0.87021,0.008317,0.008317,0.008317
19,11045.9,0.40614,0.21209,0.82314,0.99675,0.99647,0.9943,0.92674,0.42232,0.17852,0.87067,0.008218,0.008218,0.008218
20,11626.1,0.40368,0.20883,0.82159,0.9975,0.99674,0.99413,0.92827,0.42379,0.17768,0.87205,0.008119,0.008119,0.008119
21,12206.5,0.39836,0.20556,0.81976,0.99639,0.99625,0.99298,0.92231,0.42219,0.17243,0.87218,0.00802,0.00802,0.00802
22,12787.2,0.39343,0.20502,0.81821,0.99482,0.9954,0.99365,0.92713,0.42034,0.17493,0.87241,0.007921,0.007921,0.007921
23,13367.8,0.38987,0.2017,0.81859,0.99599,0.99675,0.99361,0.9264,0.4211,0.17219,0.87426,0.007822,0.007822,0.007822
24,13948.7,0.38612,0.20005,0.81699,0.99623,0.99656,0.99363,0.92678,0.41801,0.17083,0.87338,0.007723,0.007723,0.007723
25,14529.5,0.38192,0.19831,0.81574,0.99685,0.99646,0.99385,0.92645,0.41518,0.16959,0.87296,0.007624,0.007624,0.007624
26,15110.3,0.3773,0.19571,0.81522,0.99689,0.99674,0.99427,0.92643,0.41439,0.16884,0.87354,0.007525,0.007525,0.007525
27,15692.7,0.37346,0.19312,0.81371,0.99778,0.9978,0.99426,0.92393,0.41713,0.17071,0.87419,0.007426,0.007426,0.007426
