                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3365,                 2.3255,                 1.0849,                0.69707,                0.73689,                0.73574,                0.46738,                 1.2456,                 1.5919,                 1.0923,             0.00055345,             0.00055345,             0.00055345
                      2,                 1.3172,                 1.4107,                 1.0914,                0.82128,                 0.7932,                0.86291,                0.55902,                 1.2086,                0.92388,                 1.1206,              0.0010981,              0.0010981,              0.0010981
                      3,                 1.3068,                 1.1139,                 1.1024,                0.81087,                0.75016,                0.83689,                0.51879,                 1.2942,                0.96734,                 1.1685,              0.0016318,              0.0016318,              0.0016318
                      4,                 1.2856,                0.98847,                 1.0943,                0.82277,                0.75912,                0.84988,                0.54003,                 1.2094,                 0.9222,                 1.1495,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2545,                0.91423,                 1.0834,                0.82079,                0.87704,                0.91806,                0.59027,                 1.1938,                0.81448,                 1.1207,               0.001601,               0.001601,               0.001601
                      6,                 1.1908,                0.83823,                 1.0676,                0.88509,                 0.8367,                0.91348,                0.60806,                 1.1749,                0.78696,                 1.1255,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2039,                0.81825,                 1.0614,                 0.9015,                0.87975,                0.94321,                0.65864,                  1.089,                0.70813,                 1.0964,               0.001568,               0.001568,               0.001568
                      8,                 1.1713,                0.78246,                  1.057,                0.91111,                0.86543,                0.95016,                0.66261,                 1.1184,                0.71746,                 1.0747,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1517,                0.77641,                 1.0442,                0.89338,                0.90849,                0.93992,                0.65598,                 1.0916,                0.66803,                  1.077,               0.001535,               0.001535,               0.001535
                     10,                  1.118,                0.74315,                 1.0334,                 0.9092,                0.90444,                0.93806,                 0.6352,                  1.085,                0.66454,                 1.0589,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1127,                0.72429,                 1.0281,                0.91414,                0.85876,                0.93667,                0.67327,                 1.0205,                0.67417,                 1.0386,               0.001502,               0.001502,               0.001502
