epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.981,1.07188,1.20707,1.09078,0.81996,0.92426,0.8995,0.65212,0.99486,0.8101,1.06992,0.00332706,0.00332706,0.00332706
2,534.486,1.05157,0.74112,1.06708,0.90202,0.90163,0.93551,0.64663,1.11582,0.70664,1.24521,0.00659445,0.00659445,0.00659445
3,796.836,1.13905,0.81999,1.11613,0.87693,0.89316,0.93087,0.64266,1.11598,0.82012,1.26454,0.00979585,0.00979585,0.00979585
4,1058.92,1.16704,0.81606,1.15116,0.86898,0.88216,0.92677,0.63939,1.1544,0.79477,1.32059,0.009703,0.009703,0.009703
5,1321.16,1.13417,0.75659,1.1485,0.91202,0.90632,0.94462,0.66557,1.09377,0.67528,1.26657,0.009604,0.009604,0.009604
6,1583.48,1.08337,0.71158,1.12944,0.90309,0.90651,0.93987,0.68582,1.03874,0.68023,1.26158,0.009505,0.009505,0.009505
7,1845.77,1.05599,0.67748,1.11828,0.93013,0.9035,0.95625,0.71288,1.00763,0.59425,1.23523,0.009406,0.009406,0.009406
8,2108.12,1.02337,0.649,1.103,0.91046,0.90293,0.94626,0.70035,1.00545,0.63382,1.2322,0.009307,0.009307,0.009307
9,2370.16,1.02037,0.6328,1.10017,0.9149,0.91604,0.95597,0.70986,0.99348,0.59383,1.2213,0.009208,0.009208,0.009208
10,2632.04,0.98057,0.61077,1.07814,0.91871,0.91894,0.95109,0.71321,0.96884,0.57118,1.2035,0.009109,0.009109,0.009109
11,2894.21,0.96982,0.58953,1.0786,0.9431,0.91094,0.95959,0.72883,0.96257,0.56372,1.21245,0.00901,0.00901,0.00901
12,3156.5,0.95312,0.57243,1.07268,0.937,0.92492,0.95736,0.73154,0.96194,0.54853,1.21493,0.008911,0.008911,0.008911
13,3418.7,0.94636,0.56636,1.06772,0.94201,0.91202,0.95518,0.73462,0.94441,0.54474,1.22336,0.008812,0.008812,0.008812
14,3682.27,0.93304,0.55867,1.05743,0.94058,0.9184,0.94945,0.72823,0.94435,0.55547,1.20986,0.008713,0.008713,0.008713
15,3944.58,0.92045,0.54195,1.05105,0.93471,0.92862,0.96421,0.74582,0.9419,0.52227,1.20345,0.008614,0.008614,0.008614
16,4207.12,0.9041,0.52584,1.04311,0.94315,0.91925,0.96137,0.74329,0.93553,0.53095,1.2064,0.008515,0.008515,0.008515
17,4469.25,0.89881,0.52704,1.03707,0.93456,0.93328,0.96445,0.74046,0.94076,0.50466,1.22123,0.008416,0.008416,0.008416
18,4731.55,0.8845,0.51562,1.03151,0.94172,0.92125,0.95641,0.74182,0.92513,0.52061,1.20155,0.008317,0.008317,0.008317
19,4993.66,0.87461,0.50894,1.02771,0.93874,0.92642,0.95964,0.75367,0.91314,0.51738,1.15261,0.008218,0.008218,0.008218
20,5255.98,0.85391,0.49443,1.02202,0.93471,0.92487,0.96143,0.7515,0.90104,0.50879,1.1676,0.008119,0.008119,0.008119
21,5518.23,0.86051,0.4928,1.01452,0.94633,0.93216,0.96608,0.76387,0.88978,0.4917,1.1573,0.00802,0.00802,0.00802
22,5780.77,0.84306,0.48527,1.01467,0.94793,0.91638,0.96436,0.76342,0.88431,0.49141,1.14919,0.007921,0.007921,0.007921
23,6042.93,0.82571,0.47494,1.00527,0.94519,0.92714,0.96337,0.76083,0.87782,0.49605,1.15183,0.007822,0.007822,0.007822
24,6305.07,0.82635,0.47814,1.00163,0.94972,0.93063,0.95999,0.75129,0.88553,0.48062,1.14202,0.007723,0.007723,0.007723
25,6567.43,0.81198,0.45847,0.99585,0.95544,0.92923,0.96732,0.76573,0.86461,0.46053,1.13861,0.007624,0.007624,0.007624
26,6829.98,0.80926,0.45577,0.99394,0.94058,0.93641,0.9681,0.77087,0.88477,0.46543,1.15363,0.007525,0.007525,0.007525
27,7092.53,0.79822,0.45217,0.98863,0.94683,0.93251,0.96394,0.76611,0.86319,0.46547,1.13918,0.007426,0.007426,0.007426
28,7356.02,0.78998,0.4465,0.98864,0.94683,0.92706,0.96107,0.76602,0.86192,0.48151,1.14437,0.007327,0.007327,0.007327
29,7618.94,0.7937,0.44694,0.9882,0.9599,0.93521,0.96727,0.77652,0.85319,0.44293,1.11669,0.007228,0.007228,0.007228
30,7881.85,0.77987,0.43666,0.98471,0.95108,0.92708,0.9651,0.77121,0.85553,0.46185,1.1438,0.007129,0.007129,0.007129
31,8144.61,0.77833,0.43465,0.98297,0.94006,0.93894,0.96837,0.77983,0.84734,0.4527,1.1296,0.00703,0.00703,0.00703
32,8407.71,0.76429,0.43009,0.97668,0.947,0.93257,0.96388,0.77231,0.84764,0.45001,1.12467,0.006931,0.006931,0.006931
33,8670.28,0.76431,0.42464,0.9725,0.94542,0.93095,0.96289,0.77781,0.84062,0.47042,1.12086,0.006832,0.006832,0.006832
34,8933.01,0.75404,0.41403,0.96941,0.95818,0.92992,0.96636,0.77933,0.84133,0.44082,1.124,0.006733,0.006733,0.006733
35,9195.64,0.73957,0.41322,0.96423,0.9466,0.9252,0.96056,0.76577,0.85372,0.46646,1.13075,0.006634,0.006634,0.006634
36,9458.56,0.74098,0.4162,0.96424,0.94459,0.93288,0.96536,0.77716,0.84762,0.45896,1.11051,0.006535,0.006535,0.006535
37,9721.49,0.7425,0.41145,0.96304,0.94454,0.93769,0.96379,0.77636,0.8478,0.4434,1.12316,0.006436,0.006436,0.006436
38,9984.37,0.73052,0.40154,0.95964,0.94217,0.94035,0.9634,0.77588,0.84562,0.45319,1.12954,0.006337,0.006337,0.006337
39,10247.5,0.72034,0.39877,0.95897,0.94122,0.94419,0.96479,0.77676,0.83759,0.43286,1.1358,0.006238,0.006238,0.006238
40,10510.4,0.71478,0.39088,0.95418,0.95351,0.9219,0.96721,0.77886,0.84174,0.44889,1.11947,0.006139,0.006139,0.006139
41,10774,0.70934,0.38572,0.95139,0.93891,0.93901,0.96317,0.7817,0.82561,0.43366,1.11745,0.00604,0.00604,0.00604
